Callsign, AircraftType, Departure, Destination, SpawnTime, DespawnTime,Flight Time, Info, TA, RA, !BOOM!,,,,,,,,,
AFR837,B789,KOAK,OYAA,11480.4,22553.52,184.6,70,165,142,0,,,,,,,,,
SAS647,B789,MMCL,FAOR,11457,22566.36,185.2,53,139,284,0,,,,,,,,,
UAL807,A332,KBWI,LGAV,10862.94,22572.96,195.2,301,131,0,0,,,,,,,,,
THY721,B748,KPWM,GQNN,12192,22579.44,173.1,0,0,0,0,,,,,,,,,
TAP232,A343,KLIT,LKPR,12142.5,22612.02,174.5,132,298,2,0,,,,,,,,,
VIR45,B763,KDSM,OLBA,11364.72,22631.7,187.8,218,0,0,0,,,,,,,,,
UAL720,B788,KPBI,UTSS,10750.02,22631.7,198,608,186,82,0,,,,,,,,,
THY569,A339,KCHS,LBSF,11877.72,22710.12,180.5,247,0,1,0,,,,,,,,,
TAP87,B77W,KMKE,VOBL,11973.42,22718.46,179.1,133,183,0,0,,,,,,,,,
VIR257,B77W,KMCI,VCBI,11411.46,22737.18,188.8,227,207,316,0,,,,,,,,,
BAW523,A333,MMUN,LCLK,12414.36,22790.16,172.9,215,600,3,0,,,,,,,,,
UAE312,A339,KALB,OMAA,12094.8,22794.9,178.3,73,230,24,0,,,,,,,,,
SAS366,B77L,KSAN,LFPG,11784,22822.92,184,40,205,2,0,,,,,,,,,
TAP594,A333,CYHM,HKJK,11504.64,22835.04,188.8,255,7,0,0,,,,,,,,,
UAE759,B789,CYYT,UKBB,11999.46,22848.06,180.8,176,25,92,0,,,,,,,,,
UAL401,B77L,KFNT,LJLJ,11620.38,22874.16,187.6,279,232,1,0,,,,,,,,,
TAP613,B752,KICT,LEBL,11667.66,22888.2,187,432,10,1,0,,,,,,,,,
THY503,B763,KMCO,OIFM,11320.2,22900.26,193,451,0,0,0,,,,,,,,,
AFR507,B772,CYQX,FACT,11714.16,22932.9,187,385,150,2,0,,,,,,,,,
AFR823,A339,KSAN,LHBP,11114.58,22959.12,197.4,63,32,0,0,,,,,,,,,
AAL325,B772,KDLH,OKBK,12265.74,22959.12,178.2,3,9,1,0,,,,,,,,,
LOT585,A333,CYOW,LWSK,11736.48,22965.6,187.2,120,83,0,0,,,,,,,,,
UAL80,B772,KBOI,LKPR,11925.72,22971.3,184.1,298,180,0,0,,,,,,,,,
SAS54,A339,KSFO,OLBA,11022.36,22991.88,199.5,466,28,0,0,,,,,,,,,
TAP251,B789,MMPR,OEDF,12069.48,23004.9,182.3,0,0,0,0,,,,,,,,,
THY888,B77W,CYQM,FSIA,12671.34,23011.44,172.3,161,210,29,0,,,,,,,,,
UAL553,B789,KFLL,VOBL,12465.72,23019,175.9,3,0,1,0,,,,,,,,,
TSC771,B77W,KDSM,DNKN,12694.98,23043.3,172.5,0,0,0,0,,,,,,,,,
SAS35,B772,KIAD,FIMP,11902.86,23057.4,185.9,1,0,0,0,,,,,,,,,
THY798,B772,KLIT,OIII,12120.18,23057.4,182.3,94,0,0,0,,,,,,,,,
DLH383,B789,KMSY,OPLA,11830.62,23110.56,188,132,138,304,0,,,,,,,,,
KLM932,B772,KALB,DTTA,11251.14,23117.04,197.8,125,0,0,0,,,,,,,,,
SWR104,B763,KBIS,LROP,11341.86,23131.08,196.5,37,9,0,0,,,,,,,,,
BAW756,B764,KSJC,HSSS,11388.96,23150.7,196,204,0,0,0,,,,,,,,,
VIR836,B789,KDCA,FSIA,12541.32,23156.22,176.9,100,167,216,0,,,,,,,,,
SWR2,B77L,CYEG,VIDP,12853.26,23156.22,171.7,81,90,77,0,,,,,,,,,
AFR663,B789,MMPR,DAOR,12023.52,23156.22,185.5,0,0,0,0,,,,,,,,,
IBE666,B788,CYVR,DGAA,11091.42,23195.22,201.7,242,369,24,0,,,,,,,,,
LOT550,A332,KSMF,VOBL,11949.12,23201.76,187.5,426,57,1,0,,,,,,,,,
THY336,B763,KALB,DTTA,12240.48,23201.76,182.7,1,0,0,0,,,,,,,,,
THY770,A359,KMCI,LOWW,12516.24,23286.72,179.5,50,52,0,0,,,,,,,,,
AFR317,B789,CYEG,LZIB,12566.58,23292.24,178.8,0,0,0,0,,,,,,,,,
AFR865,A332,KFNT,UTSS,12364.8,23313.66,182.5,16,207,3,0,,,,,,,,,
EIN941,B77W,KMKE,LDZA,13072.56,23313.66,170.7,32,133,1,0,,,,,,,,,
ETD259,B789,MMUN,VOCI,12906.78,23338.74,173.9,10,85,3,0,,,,,,,,,
TAP187,B77W,CYFC,EDDL,12389.04,23345.58,182.6,225,351,3,0,,,,,,,,,
DLH824,B772,MMCL,LYBE,12045,23377.38,188.9,11,0,0,0,,,,,,,,,
TSC313,B788,CYXY,LFPG,11574.6,23404.08,197.2,95,83,22,0,,,,,,,,,
AAL659,B788,KPHX,UTSS,11854.26,23404.08,192.5,66,310,3,0,,,,,,,,,
BAW175,B78X,KMIA,OYSN,12721.8,23476.08,179.2,0,0,0,0,,,,,,,,,
KLM862,B77W,CYEG,LFPG,12440.46,23483.46,184.1,277,179,3,0,,,,,,,,,
BAW652,B748,KSYR,LKPR,12801.18,23490.06,178.1,0,0,0,0,,,,,,,,,
