Callsign, AircraftType, Departure, Destination, SpawnTime, DespawnTime,Flight Times, Info, TA, RA, !BOOM!,,,,,,,,,
AFR489,B772,MMAS,GOOY,10279.62,21512.88,187.2,8,36,1,0,,,,,,,,,
UAL879,A359,KLIT,FLLS,11651.64,21512.88,164.4,119,125,54,0,,,,,,,,,
SAS234,A333,CYXU,EDDH,10632.06,21540,181.8,239,227,34,0,,,,,,,,,
SAS802,A332,KLIT,LFPO,10216.08,21560.58,189.1,156,429,12,0,,,,,,,,,
KLM498,A332,CYSJ,VOHS,10508.04,21665.22,186,0,0,0,0,,,,,,,,,
DLH74,B77L,CYQT,EDDL,10569.06,21670.74,185,179,0,0,0,,,,,,,,,
IBE906,B77W,CYHM,FSIA,11566.02,21692.34,168.8,101,647,22,0,,,,,,,,,
IBE689,B772,KFNT,LPPT,11086.02,21766.02,178,40,195,1,0,,,,,,,,,
DAL14,B77L,KDSM,OMDB,11292.54,21771.66,174.7,49,378,5,0,,,,,,,,,
EIN409,A359,KSTL,VECC,10756.14,21771.66,183.6,50,390,5,0,,,,,,,,,
BAW846,B772,MMUN,EDDH,11064.54,21778.2,178.6,21,53,4,0,,,,,,,,,
UAL829,A332,KSAN,FWKI,9900.66,21784.62,198.1,403,36,64,0,,,,,,,,,
BAW576,A388,CYYZ,LWSK,11885.28,21790.26,165.1,0,0,0,0,,,,,,,,,
AFR590,B764,CYFB,OMDB,10320.96,21810.54,191.5,0,0,0,0,,,,,,,,,
IBE206,B789,KJAX,LPPD,11313.24,21816.42,175.1,81,314,99,0,,,,,,,,,
SAS874,A359,CYUL,LGAV,10962.84,21817.08,180.9,112,171,0,0,,,,,,,,,
VIR441,B78X,KJFK,FACT,10175.76,21835.8,194.3,775,433,0,0,,,,,,,,,
THY210,B772,KBWI,DNKN,10839,21857.1,183.6,45,73,24,0,,,,,,,,,
ETD36,B764,KPWM,EPKK,10713.36,21895.44,186.4,96,400,138,0,,,,,,,,,
AAL449,B764,KBIL,VOHS,10610.76,21901.74,188.2,9,1,21,0,,,,,,,,,
AFR762,B763,KDCA,FAOR,10240.32,21908.28,194.5,65,213,282,0,,,,,,,,,
UAE309,B748,MMCL,LPPT,11170.02,21914.88,179.1,0,0,0,0,,,,,,,,,
AAL511,B77W,KDEN,LEMD,10365.36,21935.4,192.8,262,553,104,0,,,,,,,,,
ETD223,B789,KDSM,DGAA,10673.16,21948.42,187.9,118,92,0,0,,,,,,,,,
KLM828,B789,CYYC,LROP,10899.48,21960.48,184.4,115,399,97,0,,,,,,,,,
TAP933,B764,CYWG,OYSN,10006.14,21960.48,199.2,51,435,4,0,,,,,,,,,
VIR22,B772,KSEA,UKBB,10735.02,21968.04,187.2,57,97,0,0,,,,,,,,,
SAS430,B788,KBGR,OYAA,10651.8,22014.06,189.4,0,0,0,0,,,,,,,,,
SWR967,A359,CYQM,OIFM,10983.42,22014.06,183.8,44,152,0,0,,,,,,,,,
SWR376,B744,KBGR,UKBB,12168.72,22119.54,165.8,63,124,3,0,,,,,,,,,
EIN914,B78X,KDSM,LFPG,11043.84,22126.08,184.7,85,133,41,0,,,,,,,,,
BAW368,B789,CYHZ,LYBE,11128.02,22167.48,184,224,496,22,0,,,,,,,,,
DLH912,A35K,CYYJ,HAAB,11149.02,22180.56,183.9,17,81,0,0,,,,,,,,,
EIN176,B77W,KJAX,EDDP,11252.46,22186.14,182.2,90,33,0,0,,,,,,,,,
EIN309,B748,KBIL,OMAA,11481.12,22186.14,178.4,48,76,3,0,,,,,,,,,
DAL498,B788,MMAS,LROP,11273.04,22258.14,183.1,147,63,121,0,,,,,,,,,
SAS860,B763,KBUF,LFLL,11105.64,22273.14,186.1,105,75,153,0,,,,,,,,,
SWR731,A332,CYSJ,OIKB,11335.62,22284.48,182.5,337,308,3,0,,,,,,,,,
KLM938,A339,CYYR,OIKB,11459.58,22292.88,180.6,85,44,0,0,,,,,,,,,
UAE127,B772,KBIL,LDZA,11501.7,22345.26,180.7,104,0,0,0,,,,,,,,,
